pathway	pancancer	ontology
ATP binding	376043	Molecular Function
DNA binding	294026	Molecular Function
oxidation-reduction process	269375	Biological Process
regulation of transcription, DNA-templated	245136	Biological Process
catalytic activity	204363	Molecular Function
membrane	181397	Cellular Component
translation	166045	Biological Process
structural constituent of ribosome	161873	Molecular Function
protein binding	143669	Molecular Function
integral component of membrane	142252	Cellular Component
ribosome	139653	Cellular Component
DNA-binding transcription factor activity	134264	Molecular Function
transmembrane transport	133576	Biological Process
RNA binding	103484	Molecular Function
oxidoreductase activity	99657	Molecular Function
phosphorelay signal transduction system	93668	Biological Process
Mitochondrial translation initiation	80164	Reactome
Aminoacyl-tRNA biosynthesis	78826	KEGG
Mitochondrial translation elongation	78666	Reactome
carbohydrate metabolic process	76472	Biological Process
Mitochondrial translation termination	75387	Reactome
SRP-dependent cotranslational protein targeting to membrane	73499	Reactome
Purine metabolism	71426	KEGG
cytoplasm	71169	Cellular Component
Major pathway of rRNA processing in the nucleolus and cytosol	63824	Reactome
Respiratory electron transport	63540	Reactome
proteolysis	63167	Biological Process
GTP binding	61778	Molecular Function
nucleotide binding	61567	Molecular Function
Response of EIF2AK4 (GCN2) to amino acid deficiency	58859	Reactome
nucleic acid binding	57974	Molecular Function
Regulation of expression of SLITs and ROBOs	57252	Reactome
Selenocysteine synthesis	56999	Reactome
Viral mRNA Translation	56719	Reactome
GTP hydrolysis and joining of the 60S ribosomal subunit	56542	Reactome
L13a-mediated translational silencing of Ceruloplasmin expression	56529	Reactome
Formation of a pool of free 40S subunits	56512	Reactome
Eukaryotic Translation Termination	56502	Reactome
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	56501	Reactome
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	56492	Reactome
Peptide chain elongation	56490	Reactome
hydrolase activity	56236	Molecular Function
signal transduction	54734	Biological Process
transmembrane transporter activity	52742	Molecular Function
DNA repair	50958	Biological Process
biosynthetic process	50287	Biological Process
DNA recombination	50107	Biological Process
metal ion binding	48870	Molecular Function
Pyrimidine metabolism	48818	KEGG
methyltransferase activity	46534	Molecular Function
Amino sugar and nucleotide sugar metabolism	42615	KEGG
Glycolysis / Gluconeogenesis	42570	KEGG
sequence-specific DNA binding	42416	Molecular Function
Ribosomal scanning and start codon recognition	38711	Reactome
Formation of the ternary complex, and subsequently, the 43S complex	38698	Reactome
Translation initiation complex formation	38698	Reactome
ATPase activity	37508	Molecular Function
iron-sulfur cluster binding	36022	Molecular Function
One carbon pool by folate	35737	KEGG
DNA-templated transcription, initiation	35305	Biological Process
